gen,cwmin,cwmax,slotlength,txPower,TotalLostPackets_media,delayMedio_media,throughputMedioBPS_media
1,32,2048,80,10,250.68571428571428, 0.0133424328022, 898043294.1553084
2,32,2048,30,10,71.57142857142857, 0.012810387657885712, 891228777.4708863
3,32,1024,20,10,295.0285714285714, 0.014016673172228569, 873226299.8521821
4,64,2048,70,10,389.4, 0.012840088463428573, 871379654.5823988
5,32,1024,100,10,306.4, 0.014343522749257145, 862805152.3628435
6,32,4096,70,10,194.97142857142856, 0.013391474256257146, 849682123.8798548
7,512,1024,90,10,337.8285714285714, 0.015042789723457142, 848715760.7743438
8,512,1024,90,10,337.8285714285714, 0.015042789723457142, 848715760.7743438
9,512,1024,90,10,337.8285714285714, 0.015042789723457142, 848715760.7743438
10,32,1024,35,10,85.88571428571429, 0.013322235929999999, 868715978.9830958
11,32,1024,85,10,413.8, 0.014522611880171428, 861419551.6173421
12,32,1024,85,10,413.8, 0.014522611880171428, 861419551.6173421
13,512,2048,70,10,190.68571428571428, 0.01367113380697143, 865121508.8563578
14,32,1024,100,10,306.4, 0.014343522749257145, 862805152.3628435
15,32,1024,100,10,306.4, 0.014343522749257145, 862805152.3628435
16,32,1024,100,10,306.4, 0.014343522749257145, 862805152.3628435
17,32,1024,100,10,306.4, 0.014343522749257145, 862805152.3628435
18,512,1024,90,10,337.8285714285714, 0.015042789723457142, 848715760.7743438
19,512,1024,90,10,337.8285714285714, 0.015042789723457142, 848715760.7743438
20,32,4096,70,10,194.97142857142856, 0.013391474256257146, 849682123.8798548
21,32,4096,70,10,194.97142857142856, 0.013391474256257146, 849682123.8798548
22,256,2048,70,10,190.68571428571428, 0.013671129571485717, 865124513.2844516
23,256,2048,70,10,190.68571428571428, 0.013671129571485717, 865124513.2844516
24,256,2048,70,10,190.68571428571428, 0.013671129571485717, 865124513.2844516
25,256,2048,70,10,190.68571428571428, 0.013671129571485717, 865124513.2844516
26,32,2048,50,10,108.08571428571429, 0.012886579819542858, 874833606.6666985
27,32,2048,50,10,108.08571428571429, 0.012886579819542858, 874833606.6666985
28,32,4096,70,10,194.97142857142856, 0.013391474256257146, 849682123.8798548
29,32,4096,70,10,194.97142857142856, 0.013391474256257146, 849682123.8798548
30,256,1024,70,10,389.4, 0.012840100832485712, 871374091.0305076
31,256,2048,70,10,190.68571428571428, 0.013671129571485717, 865124513.2844516
32,256,2048,70,10,190.68571428571428, 0.013671129571485717, 865124513.2844516
33,512,2048,70,10,190.68571428571428, 0.01367113380697143, 865121508.8563578
34,512,2048,70,10,190.68571428571428, 0.01367113380697143, 865121508.8563578
35,512,2048,70,10,190.68571428571428, 0.01367113380697143, 865121508.8563578
36,512,2048,70,10,190.68571428571428, 0.01367113380697143, 865121508.8563578
37,512,2048,70,10,190.68571428571428, 0.01367113380697143, 865121508.8563578
38,512,2048,70,10,190.68571428571428, 0.01367113380697143, 865121508.8563578
39,512,1024,90,10,337.8285714285714, 0.015042789723457142, 848715760.7743438
40,512,1024,90,10,337.8285714285714, 0.015042789723457142, 848715760.7743438
41,512,1024,90,10,337.8285714285714, 0.015042789723457142, 848715760.7743438
42,512,2048,70,10,190.68571428571428, 0.01367113380697143, 865121508.8563578
43,512,2048,70,10,190.68571428571428, 0.01367113380697143, 865121508.8563578
44,512,2048,70,10,190.68571428571428, 0.01367113380697143, 865121508.8563578
45,512,2048,70,10,190.68571428571428, 0.01367113380697143, 865121508.8563578
46,512,2048,70,10,190.68571428571428, 0.01367113380697143, 865121508.8563578
47,512,2048,70,10,190.68571428571428, 0.01367113380697143, 865121508.8563578
48,512,2048,70,10,190.68571428571428, 0.01367113380697143, 865121508.8563578
49,512,1024,70,10,389.4, 0.012840117557371428, 871365955.3323704
50,512,2048,70,10,190.68571428571428, 0.01367113380697143, 865121508.8563578
