gen,pop_size,simulations
1,5,4
2,5,8
3,5,12
4,5,15
5,5,19
6,5,23
7,5,26
8,5,30
9,5,34
10,5,37
11,5,41
12,5,44
13,5,48
14,5,52
15,5,56
16,5,59
17,5,63
18,5,66
19,5,70
20,5,74
21,5,77
22,5,81
23,5,85
24,5,89
25,5,93
26,5,96
27,5,100
28,5,104
29,5,108
30,5,112
31,5,115
32,5,119
33,5,122
34,5,126
35,5,129
36,5,133
37,5,136
38,5,140
39,5,144
40,5,147
41,5,151
42,5,154
43,5,158
44,5,161
45,5,165
46,5,168
47,5,172
48,5,176
49,5,179
50,5,183
1,10,8
2,10,17
3,10,26
4,10,35
5,10,43
6,10,52
7,10,60
8,10,69
9,10,77
10,10,85
11,10,93
12,10,100
13,10,108
14,10,116
15,10,124
16,10,131
17,10,139
18,10,147
19,10,155
20,10,162
21,10,170
22,10,177
23,10,184
24,10,192
25,10,199
26,10,206
27,10,213
28,10,221
29,10,228
30,10,235
31,10,242
32,10,249
33,10,256
34,10,263
35,10,271
36,10,278
37,10,285
38,10,292
39,10,300
40,10,306
41,10,313
42,10,320
43,10,327
44,10,334
45,10,340
46,10,348
47,10,355
48,10,362
49,10,369
50,10,377
1,15,14
2,15,27
3,15,41
4,15,54
5,15,68
6,15,81
7,15,94
8,15,106
9,15,118
10,15,130
11,15,143
12,15,154
13,15,167
14,15,179
15,15,190
16,15,202
17,15,214
18,15,226
19,15,237
20,15,249
21,15,260
22,15,272
23,15,283
24,15,293
25,15,305
26,15,315
27,15,327
28,15,337
29,15,348
30,15,359
31,15,369
32,15,380
33,15,390
34,15,401
35,15,412
36,15,423
37,15,433
38,15,443
39,15,453
40,15,463
41,15,473
42,15,483
43,15,494
44,15,503
45,15,513
46,15,523
47,15,534
48,15,545
49,15,557
50,15,567
1,20,18
2,20,37
3,20,55
4,20,73
5,20,92
6,20,109
7,20,127
8,20,144
9,20,161
10,20,178
11,20,195
12,20,212
13,20,228
14,20,244
15,20,260
16,20,276
17,20,292
18,20,308
19,20,324
20,20,339
21,20,355
22,20,370
23,20,386
24,20,401
25,20,416
26,20,431
27,20,447
28,20,462
29,20,477
30,20,492
31,20,507
32,20,522
33,20,537
34,20,552
35,20,566
36,20,581
37,20,596
38,20,610
39,20,625
40,20,640
41,20,654
42,20,668
43,20,683
44,20,697
45,20,710
46,20,724
47,20,737
48,20,751
49,20,765
50,20,778
1,25,23
2,25,47
3,25,70
4,25,93
5,25,116
6,25,138
7,25,160
8,25,181
9,25,203
10,25,224
11,25,245
12,25,266
13,25,287
14,25,307
15,25,328
16,25,348
17,25,367
18,25,387
19,25,406
20,25,425
21,25,445
22,25,464
23,25,484
24,25,504
25,25,523
26,25,541
27,25,560
28,25,577
29,25,595
30,25,614
31,25,632
32,25,650
33,25,668
34,25,687
35,25,705
36,25,722
37,25,740
38,25,757
39,25,775
40,25,793
41,25,810
42,25,828
43,25,845
44,25,862
45,25,879
46,25,897
47,25,915
48,25,932
49,25,949
50,25,966
1,30,28
2,30,57
3,30,84
4,30,112
5,30,139
6,30,166
7,30,194
8,30,220
9,30,247
10,30,273
11,30,298
12,30,324
13,30,349
14,30,374
15,30,399
16,30,423
17,30,446
18,30,470
19,30,493
20,30,516
21,30,538
22,30,562
23,30,584
24,30,606
25,30,628
26,30,651
27,30,673
28,30,694
29,30,715
30,30,736
31,30,756
32,30,777
33,30,797
34,30,818
35,30,838
36,30,858
37,30,878
38,30,899
39,30,918
40,30,937
41,30,957
42,30,977
43,30,996
44,30,1015
45,30,1035
46,30,1055
47,30,1075
48,30,1093
49,30,1112
50,30,1131
1,35,33
2,35,66
3,35,100
4,35,132
5,35,165
6,35,198
7,35,229
8,35,261
9,35,293
10,35,324
11,35,355
12,35,385
13,35,415
14,35,445
15,35,474
16,35,503
17,35,532
18,35,561
19,35,589
20,35,618
21,35,646
22,35,673
23,35,700
24,35,727
25,35,753
26,35,779
27,35,805
28,35,830
29,35,855
30,35,881
31,35,906
32,35,932
33,35,957
34,35,981
35,35,1006
36,35,1030
37,35,1054
38,35,1078
39,35,1101
40,35,1124
41,35,1147
42,35,1169
43,35,1192
44,35,1213
45,35,1235
46,35,1256
47,35,1277
48,35,1298
49,35,1319
50,35,1340
1,40,38
2,40,76
3,40,114
4,40,151
5,40,188
6,40,224
7,40,261
8,40,297
9,40,333
10,40,368
11,40,402
12,40,437
13,40,470
14,40,504
15,40,537
16,40,570
17,40,603
18,40,635
19,40,667
20,40,698
21,40,730
22,40,762
23,40,794
24,40,826
25,40,857
26,40,888
27,40,919
28,40,950
29,40,981
30,40,1010
31,40,1041
32,40,1071
33,40,1101
34,40,1131
35,40,1159
36,40,1188
37,40,1216
38,40,1245
39,40,1272
40,40,1301
41,40,1329
42,40,1357
43,40,1383
44,40,1410
45,40,1435
46,40,1460
47,40,1484
48,40,1510
49,40,1533
50,40,1557
1,45,43
2,45,86
3,45,129
4,45,171
5,45,213
6,45,255
7,45,295
8,45,337
9,45,377
10,45,416
11,45,454
12,45,491
13,45,528
14,45,566
15,45,603
16,45,639
17,45,675
18,45,710
19,45,745
20,45,781
21,45,815
22,45,848
23,45,881
24,45,914
25,45,947
26,45,979
27,45,1010
28,45,1041
29,45,1073
30,45,1104
31,45,1134
32,45,1163
33,45,1194
34,45,1223
35,45,1251
36,45,1280
37,45,1309
38,45,1339
39,45,1368
40,45,1397
41,45,1426
42,45,1454
43,45,1483
44,45,1511
45,45,1538
46,45,1567
47,45,1593
48,45,1621
49,45,1647
50,45,1673
1,50,48
2,50,95
3,50,143
4,50,189
5,50,235
6,50,281
7,50,326
8,50,372
9,50,417
10,50,461
11,50,505
12,50,548
13,50,590
14,50,633
15,50,675
16,50,716
17,50,758
18,50,798
19,50,837
20,50,877
21,50,916
22,50,955
23,50,993
24,50,1029
25,50,1067
26,50,1104
27,50,1140
28,50,1175
29,50,1210
30,50,1243
31,50,1276
32,50,1309
33,50,1342
34,50,1374
35,50,1405
36,50,1435
37,50,1465
38,50,1494
39,50,1523
40,50,1552
41,50,1581
42,50,1611
43,50,1639
44,50,1667
45,50,1695
46,50,1723
47,50,1752
48,50,1780
49,50,1808
50,50,1835
